OUR LADY OF FATIMA UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVENTORY OF REAGENTS/APPARATUS FOR S.Y. 2024-2025 1st SEMESTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEGE OF PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMICALS (LIQUID REAGENTS),BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2nd 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,UOM,Request for 2nd SEM 23-24,ACQUISITION as of 2nd SEM 23- 24,UOM,Date of Acquisition as of 2nd SEM 23-24,Ref. No. (OR/DR),CONSUMPTION as of 2nd SEM 23-24,BALANCE AS OF JUNE 2024,UOM,Request for 1st  SEM 24-25,ACQUISITION as of 1ST SEM 24- 25,UOM,Date of Acquisition as of  1ST SEM 24-25,Ref. No. (OR/DR),CONSUMPTION as of 1st SEM 24-25,BALANCE AS OF January  2025,UOM,Request for 2nd SEM 24-25,UOM 
ITEM,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),BALANCE AS of January 2023,UOM,Request for 2s 22-23,UOM,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of  July 2023,UOM,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acid burette (25ml),27,pcs,0,27,0,27,pcs,0,27,0,27,pcs,,pcs,,,,,27,pcs,0,pcs,,,,,0,27,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acid burette (50ml),10,pcs,0,10,0,10,pcs,0,10,0,9,pcs,,pcs,,,,,9,pcs,0,pcs,,,,,0,9,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adapter,5,pcs,0,5,0,5,pcs,0,5,0,5,pcs,,pcs,,,,,5,pcs,0,pcs,,,,,0,5,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrescence Apparatus,1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol lamp,30,pcs,0,30,0,30,pcs,0,30,0,30,pcs,,pcs,,,,,30,pcs,0,pcs,,,,,3*,27,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkali burette (25ml),12,pcs,0,12,0,12,pcs,0,12,0,12,pcs,,pcs,,,,,12,pcs,0,pcs,,,,,1*,11,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkali burette (50ml),28,pcs,0,28,0,28,pcs,0,28,0,28,pcs,,pcs,,,,,28,pcs,0,pcs,,,,,4*,24,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beaker (50ml, glass)",22,pcs,0,22,0,22,pcs,0,22,0,22,pcs,,pcs,,,,,22,pcs,0,pcs,,,,,0,22,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beaker (100ml, glass)",5,pcs,0,5,0,5,pcs,0,5,0,5,pcs,,pcs,,,,,5,pcs,0,pcs,,,,,0,5,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beaker (250ml, glass)",105,pcs,0,105,0,81,pcs,0,81,1*,81,pcs,,pcs,,,,,81,pcs,0,pcs,,,,,0,81,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beaker (500ml, glass)",4,pcs,0,4,0,4,pcs,0,4,2*,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beaker (1000ml, glass)",0,pcs,0,0,0,0,pcs,0,0,0,0,pcs,,pcs,,,,,0,pcs,0,pcs,,,,,0,0,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blender (OSTERIZER),20,pcs,0,20,0,20,pcs,5,25,18*,7,pcs,,pcs,,,,,7,pcs,3,pcs,,,,,0,7,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowl,1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buchner funnel (big),7,pcs,0,7,0,7,pcs,0,7,0,7,pcs,,pcs,,,,,7,pcs,0,pcs,,,,,3*,4,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buchner funnel (small),2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,8,pcs,9/2/2022,SI 376,10,pcs,0,pcs,,,,,1*,9,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burette clamp,38,pcs,12,50,0,50,pcs,0,50,0,50,pcs,,pcs,,,,,50,pcs,0,pcs,,,,,5*,45,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunsen burner,11,pcs,0,11,0,9,pcs,0,9,0,9,pcs,,pcs,,,,,9,pcs,0,pcs,,,,,0,9,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caliper,2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,2,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candle jar (DESSICATOR),3,pcs,0,3,0,3,pcs,0,3,0,3,pcs,,pcs,,,,,3,pcs,0,pcs,,,,,0,3,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassia flask,1,pcs,9,10,0,10,pcs,0,10,0,10,pcs,,pcs,,,,,10,pcs,0,pcs,,,,,2*,8,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casserole,19,pcs,0,19,0,8,pcs,0,8,0,8,pcs,,pcs,,,,,8,pcs,8,pcs,,,,,0,8,pcs,undelivered,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clamp holder,6,pcs,0,6,0,6,pcs,0,6,0,6,pcs,,pcs,,,,,6,pcs,0,pcs,,,,,0,6,pcs,undelivered,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromatography column 250ml,0,pcs,0,0,0,0,pcs,10,10,0,10,pcs,,pcs,,,,,4,pcs,0,pcs,,,,,0,4,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condenser,22,pcs,0,22,0,22,pcs,0,22,0,22,pcs,,pcs,,,,,22,pcs,0,pcs,,,,,0,22,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cork borer,3,pcs,0,3,0,3,pcs,0,3,0,3,pcs,,pcs,,,,,3,pcs,0,pcs,,,,,0,3,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),BALANCE AS of January 2023,UOM,Request for 2s 22-23,UOM,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crucible and cover,26,pcs,0,26,0,21,pcs,0,21,0,21,pcs,,pcs,,,,,21,pcs,0,pcs,,,,,0,21,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crucible tongs,19,pcs,0,19,0,19,pcs,0,19,0,19,pcs,,pcs,,,,,19,pcs,0,pcs,,,,,3*,16,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Breakages/ Unreturned,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Obsolete -please see attachment,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dessicator with pump,1,pcs,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distilling flask (250ml),7,pcs,0,7,0,7,pcs,0,7,0,7,pcs,,pcs,,,,,7,pcs,0,pcs,,,,,0,7,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distilling flask (1000ml),3,pcs,0,3,0,3,pcs,0,3,0,3,pcs,,pcs,,,,,3,pcs,0,pcs,,,,,0,3,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumas bulb,1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric stove,18,pcs,0,18,0,18,pcs,0,18,0,18,pcs,,pcs,*Others pulled-out by Engineering,,,,8,pcs,2,pcs,,,,,3*,5,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erlenmeyer flask (50ml),1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,0,pcs,0,pcs,,,,,0,0,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erlenmeyer flask (125ml),3,pcs,0,3,0,3,pcs,0,3,0,3,pcs,,pcs,,,,,3,pcs,0,pcs,,,,,0,3,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erlenmeyer flask (250ml),56,pcs,0,56,0,56,pcs,0,56,5*,51,pcs,,pcs,,,,,51,pcs,0,pcs,,,,,0,51,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erlenmeyer flask (500ml),9,pcs,0,9,0,9,pcs,0,9,0,9,pcs,,pcs,,,,,4,pcs,0,pcs,,,,,0,4,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erlenmeyer flask (1000ml),6,pcs,0,6,0,6,pcs,0,6,0,6,pcs,,pcs,,,,,6,pcs,0,pcs,,,,,0,6,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evaporating dish (glass-big),4,pcs,0,4,0,4,pcs,0,4,0,4,pcs,,pcs,,,,,4,pcs,0,pcs,,,,,0,4,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evaporating dish (porcelain),80,pcs,0,80,0,80,pcs,0,80,0,80,pcs,,pcs,,,,,80,pcs,0,pcs,,,,,0,80,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flask (big),1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence flask (500ml),2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,2,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forceps,19,pcs,0,19,0,19,pcs,0,19,1*,18,pcs,,pcs,,,,,18,pcs,0,pcs,,,,,0,18,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel (glass-big),14,pcs,0,14,0,14,pcs,0,14,0,14,pcs,,pcs,,,,,14,pcs,0,pcs,,,,,0,14,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel (glass-small),35,pcs,0,35,0,35,pcs,0,35,3*,32,pcs,,pcs,12,pcs,9/2/2022,SI 376,44,pcs,0,pcs,,,,,0,44,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel (stainless),4,pcs,0,4,0,4,pcs,0,4,0,4,pcs,,pcs,,,,,4,pcs,0,pcs,,,,,0,4,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graduated cylinder (10ml),54,pcs,0,54,0,54,pcs,0,54,0,54,pcs,,pcs,,,,,54,pcs,0,pcs,,,,,0,54,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graduated cylinder (25ml),21,pcs,0,21,0,21,pcs,10,31,0,24,pcs,,pcs,,,,,20,pcs,0,pcs,,,,,0,20,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graduated cylinder (50ml),40,pcs,0,40,0,38,pcs,0,38,0,38,pcs,,pcs,,,,,38,pcs,0,pcs,,,,,0,38,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graduated cylinder (100ml),14,pcs,0,14,0,14,pcs,10,24,5*,19,pcs,,pcs,,,,,16,pcs,0,pcs,,,,,0,16,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graduated cylinder (250ml),12,pcs,0,12,0,12,pcs,0,12,1*,11,pcs,,pcs,,,,,11,pcs,0,pcs,,,,,1*,10,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand lens,6,pcs,0,6,0,6,pcs,0,6,0,6,pcs,,pcs,,,,,6,pcs,0,pcs,,,,,6,6,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heating mantle,,,,,,,,,,,,,0,unit,1,unit,7/14/2022,DR. No. 23271 ATR,1,unit,0,unit,,,,,0,1,unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot plate,3,pcs,0,3,0,3,pcs,0,3,0,3,pcs,,pcs,,,,,3,pcs,0,pcs,,,,,0,3,pcs,undelivered,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hygrometer,2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,2,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrometer (Heavy),5,pcs,0,5,0,5,pcs,0,5,0,5,pcs,,pcs,,,,,5,pcs,0,pcs,,,,,0,5,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrometer (Light),5,pcs,0,5,0,5,pcs,0,5,0,5,pcs,,pcs,,,,,5,pcs,0,pcs,,,,,0,5,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inoculating Loop,50,pcs,0,50,0,50,pcs,0,50,0,50,pcs,,pcs,,,,,50,pcs,0,pcs,,,,,0,50,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Breakages/ Unreturned,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inoculating needle,35,pcs,0,35,0,35,pcs,0,35,0,35,pcs,,pcs,,,,,35,pcs,0,pcs,,,,,0,35,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),BALANCE AS of January 2023,UOM,Request for 2s 22-23,UOM,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iodine flask (250ml),12,pcs,0,12,0,12,pcs,0,12,0,12,pcs,,pcs,,,,,12,pcs,0,pcs,,,,,0,12,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iodine flask (500ml),6,pcs,0,6,0,6,pcs,0,6,0,6,pcs,,pcs,,,,,6,pcs,0,pcs,,,,,0,6,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron ring w/ clamp,15,pcs,0,15,0,15,pcs,0,15,0,15,pcs,,pcs,,,,,15,pcs,0,pcs,,,,,0,15,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron stand,30,pcs,0,30,0,30,pcs,0,30,0,30,pcs,,pcs,,,,,30,pcs,0,pcs,,,,,0,30,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kjeldahl flask (250ml),6,pcs,0,6,0,6,pcs,0,6,0,6,pcs,,pcs,,,,,6,pcs,0,pcs,,,,,0,6,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kjeldahl flask (500ml),6,pcs,0,6,0,6,pcs,0,6,0,6,pcs,,pcs,,,,,6,pcs,0,pcs,,,,,0,6,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortar and pestle,60,pcs,0,60,0,60,pcs,0,60,0,60,pcs,,pcs,,,,,60,pcs,0,pcs,,,,,0,60,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oswald viscometer,1,pcs,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perculator cups,6,pcs,0,6,0,6,pcs,0,6,0,6,pcs,,pcs,,,,,6,pcs,0,pcs,6,pcs,04/11/23,SI 4209,0,6,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petri dishes (glass),60,pcs,0,60,0,60,pcs,0,60,0,60,pcs,,pcs,,,,,60,pcs,0,pcs,,,,,0,60,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pile,0,pcs,0,0,0,0,pcs,0,0,0,0,pcs,,pcs,,,,,0,pcs,0,pcs,,,,,0,0,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pill tile,22,pcs,0,22,0,22,pcs,0,22,0,22,pcs,,pcs,,,,,22,pcs,0,pcs,,,,,0,22,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pycnometer (25ml),15,pcs,0,15,0,15,pcs,0,15,0,15,pcs,,pcs,,,,,15,pcs,0,pcs,,,,,0,15,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pycnometer (50ml),5,pcs,0,5,0,5,pcs,0,5,0,5,pcs,,pcs,,,,,5,pcs,0,pcs,,,,,1*,4,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipette (0.5ml),1,pcs,0,1,0,1,pc,0,1,0,1,pc,,pc,,,,,0,pc,0,pc,,,,,0,0,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipette (1ml),5,pcs,0,5,0,5,pcs,0,5,0,5,pcs,,pcs,,,,,5,pcs,0,pcs,,,,,0,5,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipette (2ml),36,pcs,0,36,0,13,pcs,0,13,0,13,pcs,,pcs,,,,,13,pcs,0,pcs,,,,,0,13,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipette (5ml),30,pcs,0,30,0,30,pcs,0,30,0,30,pcs,,pcs,,,,,30,pcs,0,pcs,35,pcs,02/06/23 - 05/27/23,SI 904  /SI 2239,0,61,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipette (10ml),70,pcs,0,70,0,36,pcs,0,36,4*,36,pcs,,pcs,,,9/2/2022,SI 376,36,pcs,12,pcs,,,,,0,36,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round bottom flask(250ml),14,pcs,0,14,0,14,pcs,0,14,0,14,pcs,,pcs,,,,,14,pcs,0,pcs,,,,,1*,13,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round bottom flask(500ml),7,pcs,0,7,0,5,pcs,0,5,0,5,pcs,,pcs,,,,,5,pcs,0,pcs,,,,,2*,3,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round bottom flask(1000ml),2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-clamp,26,pcs,0,26,0,26,pcs,0,26,0,26,pcs,,pcs,,,,,26,pcs,0,pcs,,,,,0,26,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Separatory funnel,20,pcs,0,20,0,20,pcs,0,20,0,20,pcs,,pcs,,,,,20,pcs,0,pcs,,,,,0,20,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatula (porcelain),25,pcs,0,25,0,18,pcs,0,18,0,18,pcs,,pcs,12,pcs,9/2/2022,SI 376,30,pcs,0,pcs,12,pcs,05/27/23,SI 4267,0,32,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatula (stainless),27,pcs,0,27,0,27,pcs,0,27,0,27,pcs,,pcs,,,,,27,pcs,0,pcs,,,,,0,27,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spot plate by '6,11,pcs,0,11,0,11,pcs,0,11,0,11,pcs,,pcs,,,,,11,pcs,0,pcs,,,,,0,11,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spot plate by '12,6,pcs,0,6,0,5,pcs,0,5,0,5,pcs,,pcs,,,,,5,pcs,0,pcs,,,,,0,5,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Breakages/ Unreturned,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stalagmometer,1,pcs,0,1,0,1,pc,0,1,0,1,pc,,pc,1,,,,1,pc,0,pc,,,,,0,1,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stirring rod (glass),50,pcs,0,50,0,50,pcs,0,50,0,50,pcs,,pcs,15,pcs,9/2/2022,SI 376,50,pcs,0,pcs,15,pcs,05/27/23,SI 4267,0,90,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stirring rod (stainless),2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,2,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suction flask (4000ml),1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),BALANCE AS of January 2023,UOM,Request for 2s 22-23,UOM,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July  2023,UOM,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suction flask (1000ml),1,pcs,0,1,0,1,pcs,0,1,0,1,pcs,,pcs,,,,,1,pcs,0,pcs,,,,,0,1,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suction flask (500ml),3,pcs,0,3,0,3,pcs,0,3,0,3,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,2,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suppository mold,3,pcs,0,3,0,3,pcs,0,3,0,3,pcs,,pcs,,,,,3,pcs,0,pcs,,,,,0,3,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test tube holder,50,pcs,0,50,0,45,pcs,50,95,0,95,pcs,,pcs,,,,,95,pcs,0,pcs,,,,,0,95,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test tube rack,20,pcs,50,70,0,70,pcs,50,120,0,120,pcs,,pcs,,,,,120,pcs,0,pcs,,,,,5*,115,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test tube (small),155,pcs,0,155,0,155,pcs,0,155,0,155,pcs,,pcs,,,,,155,pcs,0,pcs,,,,,0,155,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Testube (Big),150,pcs,0,150,0,150,pcs,0,150,0,150,pcs,,pcs,,,,,150,pcs,0,pcs,,,,,0,150,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermometer (digital),2,pcs,0,2,0,2,pcs,0,2,0,2,pcs,,pcs,,,,,2,pcs,0,pcs,,,,,0,2,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermometer (oral),3,pcs,0,3,0,3,pcs,0,3,0,3,pcs,,pcs,,,,,3,pcs,0,pcs,,,,,0,3,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermometer (rectal),3,pcs,0,3,0,3,pcs,0,3,0,3,pcs,,pcs,,,,,3,pcs,0,pcs,,,,,0,3,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermometer (alcohol),12,pcs,0,12,0,12,pcs,0,12,0,12,pcs,,pcs,,,,,12,pcs,0,pcs,,,,,1*,11,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermostat,4,pcs,0,4,0,4,pcs,0,4,0,4,pcs,,pcs,,,,,4,pcs,0,pcs,,,,,0,4,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
